x.elnino,y.elnino,x.lanina,y.lanina
0,1,0,1
0.001461744,0.997037164,0.03215837,1
0.014617441,0.943665412,0.067240227,0.979205524
0.048237554,0.949704169,0.07893418,0.952699067
0.138865687,0.944049902,0.106707317,0.952613881
0.150559639,0.893640986,0.124248246,0.926089491
0.188564985,0.890791235,0.156406615,0.914226148
0.273346141,0.894020952,0.191488473,0.91705972
0.323045439,0.867468517,0.226570331,0.916952116
0.33766288,0.837840161,0.261652188,0.916844512
0.343509856,0.808184664,0.279193117,0.896202475
0.454602406,0.808528443,0.320121951,0.890194584
0.460449382,0.755134074,0.381515202,0.890006277
0.475066823,0.725505718,0.425367524,0.889871772
0.527689609,0.669288739,0.488222519,0.892620158
0.565694955,0.589287653,0.534998329,0.892476686
0.62124123,0.541981798,0.59639158,0.892288379
0.630011694,0.530139502,0.638782158,0.889217181
0.665093552,0.497607114,0.659246575,0.865625
0.739642499,0.485968372,0.694328433,0.859635043
0.749874708,0.447424369,0.726486803,0.865418759
0.764492148,0.405926576,0.745489475,0.838889885
0.767415636,0.394066187,0.789341798,0.835814204
0.80103575,0.358561916,0.84050284,0.835657281
0.896049115,0.358855938,0.891663882,0.838441535
